description,generic_name,how_to_take,name,side_effects,source,source_url,warnings
"<p>Qwo is a prescription medicine used for the treatment of moderate to severe cellulite in the buttocks of adult women.<br>
It is not known if this medicine is safe and effective in children.</p>","<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/mtm/collagenase-clostridium-histolyticum.html""> collagenase clostridium histolyticum-aaes</a> (for injection)<br>
<b>Drug class:</b> <a href=""/drug-class/miscellaneous-uncategorized-agents.html"">Miscellaneous uncategorized agents</a></p>",[],Qwo,"<p>Qwo may cause serious side effects, including:</p>",drugs.com,https://www.drugs.com/qwo.html,[]
"<p>Pfizerpen is a fast-acting <a href=""/article/antibiotics.html"" data-type=""auto"">antibiotic</a> that fights bacteria in your body.</p>","<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/mtm/penicillin-g-potassium.html"">penicillin G potassium</a> [ <i>PEN-i-SIL-in-G-poe-TAS-ee-um</i> ]<br>
<b>Drug class:</b> <a href=""/drug-class/natural-penicillins.html"">Natural penicillins</a></p>","['<p>Pfizerpen is injected into a muscle or into a vein through an IV. You may be shown how to use an injection at home. Do not self-inject this medicine if you do not fully understand how to give the injection and properly dispose of used needles, IV tubing, and other items used to inject the medicine.</p>']",Pfizerpen,"<p>Get emergency medical help if you have any of these <b>signs of an allergic reaction:</b> hives; difficulty breathing; swelling of your face, lips, tongue, or throat.</p>",drugs.com,https://www.drugs.com/mtm/pfizerpen.html,"['<p>Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.</p>']"
"<p>The Pfizer-BioNTech COVID-19 Vaccine may help your body develop immunity to SARS-CoV-2, the virus that causes COVID-19. The Pfizer COVID-19 Vaccine has Emergency Use Authorisation (EUA) by the FDA to be used in specific groups to help prevent severe disease and death from COVID-19.</p>","<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/monograph/covid-19-vaccine-pfizer-biontech.html"">COVID-19 (coronavirus 2019) vaccine, Pfizer</a> [ <i>KOE-vid-19 koe-ROE-na-vye-rus-VAX-een</i> ]<br>
<b>Brand names:</b> Pfizer-BioNTech COVID-19 Vaccine PF, <a href=""/comirnaty.html"">Comirnaty</a><br>
<b>Dosage form:</b> intramuscular suspension (30 mcg/0.3 mL)<br>
<b>Drug class:</b> <a href=""/drug-class/viral-vaccines.html"">Viral vaccines</a></p>","['<p>The Pfizer COVID-19 vaccine is given as an injection (shot) given into a muscle, in a primary series of 2 or 3 shots depending on age and whether you are immunocompromised. It may also be used as a booster in certain age groups.<br>\nPfizer-BioNTech COVID-19 Vaccines are available in a number of different formulations and strengths, some required dilution and some do not.\xa0 It is important that the correct formulation is selected and dispensed correctly.</p>']",Pfizer-BioNTech COVID-19 Vaccine,"<p>Get emergency medical help if you have <b>signs of an allergic reaction to Pfizer-BioNTech COVID-19 Vaccine:</b> <a href=""/cg/urticaria.html"">hives</a>, rash; <a href=""/cg/vertigo.html"">dizziness</a>, weakness, fast heartbeats; difficult breathing; swelling of your face, lips, tongue, or throat.</p>",drugs.com,https://www.drugs.com/pfizer-biontech-covid-19-vaccine.html,['<p><b>Becoming infected with COVID-19 is much more dangerous to your health than receiving Pfizer-BioNTech COVID-19 Vaccine.</b></p>']
"<p><a href=""/condition/covid-19.html"" data-type=""auto"">COVID-19</a> is a serious disease caused by a <a href=""/condition/covid-19.html"" data-type=""auto"">coronavirus</a> called SARS-CoV-2 (Severe Acute Respiratory Syndrome Coronavirus 2). COVID-19 is spread from person to person through the air.</p>","<p class=""drug-subtitle"">
<b>Generic name:</b> COVID-19 (6m-4y) bivalent vaccine, Pfizer [ <i>KOE-vid-19 koe-ROE-na-vye-rus-VAX-een</i> ]<br>
<b>Brand name:</b> Pfizer-BioNTech COVID-19 (6m-4y) Bivalent Vaccine PF</p>",[],Pfizer-BioNTech COVID-19 (6m-4y) Bivalent Vaccine PF,"<p>Get emergency medical help if you have <b>signs of an allergic reaction:</b> hives, <a href=""/health-guide/rash.html"" data-type=""auto"">rash</a>; dizziness, weakness, fast heartbeats; difficult breathing; swelling of your face, lips, tongue, or throat.</p>",drugs.com,https://www.drugs.com/mtm/pfizer-biontech-covid-19-6m-4y-bivalent-vaccine-pf.html,['<p><b>Becoming infected with COVID-19 is much more dangerous to your health than receiving this vaccine.</b></p>']
,"<p class=""drug-subtitle"">
<b>Package insert / product label</b><br>
<b>Generic name:</b> sarraceniaceae<br>
<b>Dosage form:</b> injection</p>",[],P-Bloc Prescribing Information,,drugs.com,https://www.drugs.com/pro/p-bloc.html,[]
"<p><a href=""/condition/covid-19.html"" data-type=""auto"">COVID-19</a> is a serious disease caused by a <a href=""/condition/covid-19.html"" data-type=""auto"">coronavirus</a> called SARS-CoV-2 (Severe Acute Respiratory Syndrome Coronavirus 2). COVID-19 is spread from person to person through the air.</p>","<p class=""drug-subtitle"">
<b>Generic name:</b> COVID-19 (coronavirus 2019, 5y-11) bivalent vaccine, Pfizer [ <i>KOE-vid-19 koe-ROE-na-vye-rus-VAX-een</i> ]<br>
<b>Brand name:</b> Pfizer-BioNTech COVID-19 (5y-11y) Bivalent Vaccine PF</p>",[],Pfizer-BioNTech COVID-19 (5y-11y) Bivalent Vaccine PF,"<p>Get emergency medical help if your child has <b>signs of an allergic reaction:</b> hives, <a href=""/health-guide/rash.html"" data-type=""auto"">rash</a>; dizziness, weakness, fast heartbeats; difficult breathing; swelling of the face, lips, tongue, or throat.</p>",drugs.com,https://www.drugs.com/mtm/pfizer-biontech-covid-19-5y-11y-bivalent-vaccine-pf.html,"[""<p><b>Becoming infected with COVID-19 is much more dangerous to your child's health than receiving this vaccine.</b></p>""]"
"<p><a href=""/condition/covid-19.html"" data-type=""auto"">COVID-19</a> is a serious disease caused by a <a href=""/condition/covid-19.html"" data-type=""auto"">coronavirus</a> called SARS-CoV-2 (Severe Acute Respiratory Syndrome Coronavirus 2). COVID-19 is spread from person to person through the air.</p>","<p class=""drug-subtitle"">
<b>Generic name:</b> COVID-19 (coronavirus 2019, 12y+) bivalent vaccine, Pfizer [ <i>KOE-vid-19 koe-ROE-na-vye-rus-VAX-een</i> ]<br>
<b>Brand name:</b> Pfizer-BioNTech COVID-19 (12y+) Bivalent Vaccine PF</p>",[],Pfizer-BioNTech COVID-19 (12y+) Bivalent Vaccine PF,"<p>Get emergency medical help if you have <b>signs of an allergic reaction:</b> hives, <a href=""/health-guide/rash.html"" data-type=""auto"">rash</a>; dizziness, weakness, fast heartbeats; difficult breathing; swelling of your face, lips, tongue, or throat.</p>",drugs.com,https://www.drugs.com/mtm/pfizer-biontech-covid-19-12y-bivalent-vaccine-pf.html,['<p><b>Becoming infected with COVID-19 is much more dangerous to your health than receiving this vaccine.</b></p>']
"<p>Benzocaine is used to relieve pain and itching caused by conditions such as sunburn or other minor burns, insect bites or stings, poison ivy, poison oak, poison sumac, minor cuts, or scratches. </p>","<p class=""drug-subtitle"">
<b>Generic name:</b> benzocaine [ <i>BEN-zoe-kane</i> ]<br>
<b>Drug class:</b> <a href=""/drug-class/topical-anesthetics.html"">Topical anesthetics</a></p>","['<p><i>Use this medicine exactly as directed by your doctor</i>. Do not use it for any other reason without first checking with your doctor. This medicine may be more likely than other topical anesthetics to cause unwanted effects if it is used too much, because more of it is absorbed into the body through the skin. </p>']",Outgro (Topical application),"<p>Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention.</p>",drugs.com,https://www.drugs.com/cons/outgro.html,"[""<p>If your or your child's condition does not improve within 7 days, or if it becomes worse, check with your doctor. </p>""]"
,"<p class=""drug-subtitle"">
<b>Package insert / product label</b><br>
<b>Generic name:</b> arnica montana, sodium borate, calendula officinalis flowering top, hypericum perforatum, myrrh, plantago major, krameria lappacea root, sage and comfrey root<br>
<b>Dosage form:</b> mouthwash</p>",[],OHM Mouthwash Prescribing Information,,drugs.com,https://www.drugs.com/pro/ohm-mouthwash.html,[]
"<p>ohm <a href=""/mtm/allergy-relief.html"" data-type=""auto"">Allergy Relief</a> is an antihistamine that is used to treat symptoms of hay <a href=""/health-guide/fever.html"" data-type=""auto"">fever</a> or other allergies, such as sneezing, runny nose, itchy or watery eyes, and <a href=""/cg/itchy-skin.html"" data-type=""auto"">itching</a> in your nose or throat.</p>","<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/loratadine.html"">loratadine</a> [ <i>lor-AT-a-deen</i> ]<br>
<b>Brand names:</b> <a href=""/mtm/alavert.html"">Alavert</a>, <a href=""/claritin.html"">Claritin</a>, Claritin Reditab, ohm Allergy Relief, <a href=""/mtm/tavist-nd.html"">Tavist ND</a>, <a href=""/mtm/wal-itin.html"">Wal-itin</a><br>
<b>Drug class:</b> <a href=""/drug-class/antihistamines.html"">Antihistamines</a></p>","['<p>Use exactly as directed on the label, or as prescribed by your doctor. <a href=""/cg/cold-symptoms-aftercare-instructions.html"" data-type=""auto"">Cold</a> or allergy medicine is only for short-term use.</p>']",Ohm Allergy Relief,"<p>Get emergency medical help if you have <b>signs of an allergic reaction:</b> hives; difficult breathing; swelling of your face, lips, tongue, or throat.</p>",drugs.com,https://www.drugs.com/mtm/ohm-allergy-relief.html,['<p>Use only as directed. Tell your doctor if you use other medicines or have other medical conditions or allergies.</p>']
"<p><a href=""/mtm/tolnaftate-topical.html"" data-type=""auto"">Tolnaftate</a> is an antifungal medication that fights infections caused by fungus.</p>","<p class=""drug-subtitle"">
<b>Generic name:</b> tolnaftate topical [ <i>toll-NAF-tate</i> ]<br>
<b>Brand names:</b> Absorbine Athletes Foot, Absorbine Jr. Antifungal, <a href=""/mtm/blis-to-sol.html"">Blis-To-Sol</a>, <a href=""/mtm/clarus-antifungal.html"">Clarus Antifungal</a>, <a href=""/mtm/fungi-guard.html"">Fungi-Guard</a>, 
<a href=""#"" onclick=""document.getElementById('subtitle-brand-list').style.display='inline'; this.style.display='none'; return false;"">... show all 11 brands</a>
<span id=""subtitle-brand-list"" style=""display: none;"">
Mycocide NS, Odor-Eaters, Tinactin, Tinaderm, LamISIL Defense, Tinaspore
</span><br>
<b>Drug class:</b> <a href=""/drug-class/topical-antifungals.html"">Topical antifungals</a></p>","['<p>Use exactly as directed on the label, or as prescribed by your doctor. Do not use in larger or smaller amounts or for longer than recommended.</p>']",Odor-Eaters,"<p>Get emergency medical help if you have <b>signs of an allergic reaction</b>: hives; difficult breathing; swelling of your face, lips, tongue, or throat.</p>",drugs.com,https://www.drugs.com/mtm/odor-eaters.html,"['<p>Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.</p>']"
<p>Odomzo is a cancer medicine that interferes with the growth and spread of cancer cells in the body.</p>,"<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/mtm/sonidegib.html"">sonidegib</a> [ <i>SOE-ni-DEG-ib</i> ]<br>
<b>Drug class:</b> <a href=""/drug-class/hedgehog-pathway-inhibitors.html"">Hedgehog pathway inhibitors</a></p>",['<p><b>Usual Adult Dose for Basal Cell Carcinoma:</b></p>'],Odomzo,"<p>Get emergency medical help if you have <b>signs of an allergic reaction to Odomzo:</b> <a href=""/cg/urticaria.html"">hives</a>; difficult breathing; swelling of your face, lips, tongue, or throat.</p>",drugs.com,https://www.drugs.com/odomzo.html,['<p><b>Odomzo can cause severe birth defects or stillbirth if the mother or father is taking this medicine at the time of conception or during pregnancy.</b> Both men and women using this medicine should use effective birth control to prevent pregnancy.</p>']
,"<p class=""drug-subtitle"">
<b>Package insert / product label</b><br>
<b>Generic name:</b> <a href=""/cons/guaifenesin-and-hydrocodone.html"">hydrocodone bitartrate and guaifenesin</a><br>
<b>Dosage form:</b> oral solution<br>
<b>Drug class:</b> <a href=""/drug-class/upper-respiratory-combinations.html"">Upper respiratory combinations</a></p>",[],Obredon Prescribing Information,,drugs.com,https://www.drugs.com/pro/obredon.html,[]
<p>Antihemophilic factor (AHF) injection is used to treat and control serious bleeding episodes in patients with a bleeding problem called hemophilia A (congenital Factor VIII deficiency). The bleeding episode may be related to an injury (trauma) or a surgical procedure. It is also used to reduce the number of bleeding episodes in patients when used regularly. AHF injection is also used to prevent bleeding during a surgical procedure. </p>,"<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/mtm/antihemophilic-factor-human.html"">antihemophilic factor</a> [ <i>an-tee-hee-moe-FIL-ik-FAK-tor</i> ]<br>
<b>Drug class:</b> <a href=""/drug-class/miscellaneous-coagulation-modifiers.html"">Miscellaneous coagulation modifiers</a></p>",['<p>A doctor or other trained health professional will give you or your child this medicine in a hospital or clinic setting. This medicine is given through a needle placed in one of your veins. </p>'],Obizur (Intravenous),"<p>Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention.</p>",drugs.com,https://www.drugs.com/cons/obizur-antihemophilic-factor-intravenous.html,['<p><i>It is very important that your doctor check you or your child closely</i> while you are receiving this medicine to make sure it is working properly. Blood tests may be needed. </p>']
,"<p class=""drug-subtitle""><b>Scientific Name(s):</b> Avena sativa L.<br><b>Common Name(s):</b> Avena (Spanish), Hafer (German), Ma-karasu-mugi (Japanese), Oats</p>",[],Oats,,drugs.com,https://www.drugs.com/npp/oats.html,[]
"<p>Oxymetazoline is used for the temporary relief of nasal (of the nose) congestion or stuffiness caused by hay fever or other allergies, colds, or sinus trouble.</p>","<p class=""drug-subtitle"">
<b>Generic name:</b> oxymetazoline [ <i>ox-i-me-TAZ-oh-leen</i> ]<br>
<b>Drug class:</b> <a href=""/drug-class/nasal-antihistamines-and-decongestants.html"">Nasal antihistamines and decongestants</a></p>",['<p>To use the nose drops:</p>'],NRS-Nasal Relief (Nasal),"<p>Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention.</p>",drugs.com,https://www.drugs.com/cons/nrs-nasal-relief.html,[]
<p>Nplate is a man-made form of a protein that increases production of platelets (blood-clotting cells) in your body.</p>,"<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/romiplostim.html"">romiplostim</a> [ <i>ROM-i-PLOS-tim</i> ]<br>
<b>Drug class:</b> <a href=""/drug-class/platelet-stimulating-agents.html"">Platelet-stimulating agents</a></p>",['<p><b>Usual Adult Dose for Idiopathic (Immune) Thrombocytopenic Purpura:</b></p>'],Nplate,"<p>Get emergency medical help if you have <b>signs of an allergic reaction to Nplate</b>: <a href=""/cg/urticaria.html"">hives</a>; difficult breathing; swelling of your face, lips, tongue, or throat.</p>",drugs.com,https://www.drugs.com/nplate.html,['<p>Nplate is not a cure for ITP and it will not make your platelet counts normal if you have this condition.</p>']
,"<p class=""drug-subtitle"">
<b>Package insert / product label</b><br>
<b>Generic name:</b> levothyroxine, liothyronine<br>
<b>Dosage form:</b> tablet<br>
<b>Drug class:</b> <a href=""/drug-class/thyroid-drugs.html"">Thyroid drugs</a></p>",[],NP Thyroid 90 Prescribing Information,,drugs.com,https://www.drugs.com/pro/np-thyroid-90.html,[]
,"<p class=""drug-subtitle"">
<b>Package insert / product label</b><br>
<b>Generic name:</b> levothyroxine, liothyronine<br>
<b>Dosage form:</b> tablet<br>
<b>Drug class:</b> <a href=""/drug-class/thyroid-drugs.html"">Thyroid drugs</a></p>",[],NP Thyroid 60 Prescribing Information,,drugs.com,https://www.drugs.com/pro/np-thyroid-60.html,[]
,"<p class=""drug-subtitle"">
<b>Package insert / product label</b><br>
<b>Generic name:</b> levothyroxine, liothyronine<br>
<b>Dosage form:</b> tablet<br>
<b>Drug class:</b> <a href=""/drug-class/thyroid-drugs.html"">Thyroid drugs</a></p>",[],NP Thyroid 30 Prescribing Information,,drugs.com,https://www.drugs.com/pro/np-thyroid-30.html,[]
,"<p class=""drug-subtitle"">
<b>Package insert / product label</b><br>
<b>Generic name:</b> levothyroxine, liothyronine<br>
<b>Dosage form:</b> tablet<br>
<b>Drug class:</b> <a href=""/drug-class/thyroid-drugs.html"">Thyroid drugs</a></p>",[],NP Thyroid 15 Prescribing Information,,drugs.com,https://www.drugs.com/pro/np-thyroid-15.html,[]
<p>Ngenla (somatrogon-ghla) is a once-weekly human growth hormone analog that is given subcutaneously (under the skin) to treat children aged three years and older who are not growing because their bodies produce little or no growth hormone. It is available as a pre-filled injectable pen in 2 strengths: 24mg/1.2ml and 60mg/1.2ml.</p>,"<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/cons/somatrogon-ghla.html"">somatrogon-ghla</a><br>
<b>Dosage form:</b> subcutaneous injection</p>",['<p>Ngenla can be self-administered or administered by a caregiver once a healthcare provider has demonstrated the correct administration technique. A healthcare provider can also administer a dose.</p>'],Ngenla,<p>Ngenla may cause fluid retention. This is more likely with higher dosages. The dosage may need to be reduced by your doctor.</p>,drugs.com,https://www.drugs.com/ngenla.html,['<p>Ngenla should not be given to children with:</p>']
,"<p class=""drug-subtitle"">
<b>Package insert / product label</b><br>
<b>Generic name:</b> levothyroxine, liothyronine<br>
<b>Dosage form:</b> tablet<br>
<b>Drug class:</b> <a href=""/drug-class/thyroid-drugs.html"">Thyroid drugs</a></p>",[],NP Thyroid 120 Prescribing Information,,drugs.com,https://www.drugs.com/pro/np-thyroid-120.html,[]
"<p>Desiccated (dried) thyroid is a combination of <a href=""/drug-class/hormones.html"" data-type=""auto"">hormones</a> that are normally produced by your thyroid gland to regulate the body's energy and metabolism. Desiccated thyroid is given when the thyroid does not produce enough of this hormone on its own.</p>","<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/thyroid.html"">thyroid desiccated</a> [ <i>THYE-roid</i> ]<br>
<b>Brand names:</b> <a href=""/mtm/armour-thyroid.html"">Armour Thyroid</a>, <a href=""/mtm/nature-throid.html"">Nature-Throid</a>, NP Thyroid, <a href=""/mtm/westhroid.html"">Westhroid</a>, <a href=""/mtm/wp-thyroid.html"">WP Thyroid</a><br>
<b>Drug class:</b> <a href=""/drug-class/thyroid-drugs.html"">Thyroid drugs</a></p>",['<p>Follow all directions on your prescription label. Your doctor may occasionally change your dose to make sure you get the best results. Do not use  NP Thyroid in larger or smaller amounts or for longer than recommended.</p>'],NP Thyroid,"<p>Get emergency medical help if you have <b>signs of an allergic reaction:</b> hives; difficult breathing; swelling of your face, lips, tongue, or throat.</p>",drugs.com,https://www.drugs.com/mtm/np-thyroid.html,"['<p>You may not be able to use  NP Thyroid if you have a thyroid disorder called <a href=""/condition/thyrotoxicosis.html"" data-type=""auto"">thyrotoxicosis</a>, or an adrenal gland problem that is not controlled by treatment.</p>']"
"<p><a href=""/mtm/oxymetazoline-topical.html"" data-type=""auto"">Oxymetazoline</a> is a decongestant that shrinks blood vessels in the nasal passages. Dilated blood vessels can cause <a href=""/condition/nasal-congestion.html"" data-type=""auto"">nasal congestion</a> (stuffy nose).</p>","<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/mtm/oxymetazoline-nasal.html"">oxymetazoline nasal</a> [ <i>ox-ee-me-TAZ-oh-leen-NAY-sal</i> ]<br>
<b>Brand names:</b> <a href=""/mtm/12-hour-nasal.html"">12 Hour Nasal</a>, 12 Hour Nasal Decongestant, <a href=""/mtm/afrin-all-night-nodrip.html"">Afrin</a>, Afrin All Night NoDrip, Afrin Allergy Sinus, 
<a href=""#"" onclick=""document.getElementById('subtitle-brand-list').style.display='inline'; this.style.display='none'; return false;"">... show all 35 brands</a>
<span id=""subtitle-brand-list"" style=""display: none;"">
Afrin Extra Moisturizing, Afrin No Drip, Afrin No Drip Severe Congestion, Afrin NoDrip Extra Moisturizing, Afrin Pump Mist, Afrin Severe Congestion, Afrin Severe Congestion NoDrip, Allerest 12 Hour Nasal Spray, Dristan Nasal, Duramist Plus, Mucinex Children's Stuffy Nose, Mucinex Sinus-Max Severe Nasal Congestion Relief, Nasal Mist, Nostrilla, Sinex Severe, Vicks Sinex Severe, Vicks Sinex Severe with Aloe, Vicks Sinex Severe with VapoCOOL, Zicam Extreme Congestion Relief, Zicam Sinus Relief, Afrin No Drip Sinus, Dristan 12-Hour, Duration, Mucinex Full Force, Mucinex Moisture Smart, Neo-Synephrine 12 Hour, NRS Nasal, Sinarest Nasal, Sinex Long-Acting, Sudafed OM Sinus Cold
</span><br>
<b>Drug class:</b> <a href=""/drug-class/nasal-antihistamines-and-decongestants.html"">Nasal antihistamines and decongestants</a></p>","['<p>Use exactly as directed on the label, or as prescribed by your doctor. Do not use in larger or smaller amounts or for longer than recommended.</p>']",NRS Nasal,"<p>Get emergency medical help if you have any of these <b>signs of an allergic reaction</b>: hives; difficult breathing; swelling of your face, lips, tongue, or throat.</p>",drugs.com,https://www.drugs.com/mtm/nrs-nasal.html,"['<p>NRS Nasal (for the nose) is used for temporary relief of nasal congestion caused by allergies or the common <a href=""/cg/cold-symptoms-aftercare-instructions.html"" data-type=""auto"">cold</a>.</p>']"
"<p><a href=""/mtm/miconazole-topical.html"" data-type=""auto"">Miconazole</a> is an antifungal medication. It prevents fungus from growing.</p>","<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/mtm/miconazole-topical.html"">miconazole vaginal</a> [ <i>my-CAW-nah-zole</i> ]<br>
<b>Brand names:</b> Lagicam, <a href=""/mtm/micon-7.html"">Micon 7</a>, Miconazole 1 Combination Pack, Miconazole 3, Miconazole 7, 
<a href=""#"" onclick=""document.getElementById('subtitle-brand-list').style.display='inline'; this.style.display='none'; return false;"">... show all 12 brands</a>
<span id=""subtitle-brand-list"" style=""display: none;"">
Monistat 3, Monistat 3 Combination Pack, Monistat 7, Monistat-1 Combo Pack, Monistat-1 Day or Night, M-Zole 3, Vagistat-3
</span><br>
<b>Drug classes:</b> <a href=""/drug-class/topical-antifungals.html"">Topical antifungals</a>, <a href=""/drug-class/vaginal-anti-infectives.html"">Vaginal anti-infectives</a></p>","['<p>Use exactly as directed on the label, or as prescribed by your doctor. Do not use in larger or smaller amounts or for longer than recommended.</p>']",M-Zole 3,"<p>Get emergency medical help if you have any of these <b>signs of an allergic reaction</b>: hives; difficult breathing; swelling of your face, lips, tongue, or throat.</p>",drugs.com,https://www.drugs.com/mtm/m-zole-3.html,"['<p>If this is the first time that you have ever had symptoms of a <a href=""/health-guide/vaginal-yeast-infection.html"" data-type=""auto"">vaginal yeast infection</a>, consult your doctor before using this medication.</p>']"
,"<p class=""drug-subtitle"">
<b>Package insert / product label</b><br>
<b>Generic name:</b> aluminum chloride<br>
<b>Dosage form:</b> topical solution<br>
<b>Drug class:</b> <a href=""/drug-class/miscellaneous-topical-agents.html"">Miscellaneous topical agents</a></p>",[],NRG Hemo-Stat Prescribing Information,,drugs.com,https://www.drugs.com/pro/nrg-hemo-stat.html,[]
,"<p class=""drug-subtitle"">
<b>Package insert / product label</b><br>
<b>Generic name:</b> <a href=""/mtm/multivitamins.html"">Retinol, Ergocalciferol, alpha-tocopherol acetate, dl-, phytonadione, ascorbic acid, niacinamide, riboflavin phosphate sodium, thiamine, pyridoxine hydrochloride, dexpanthenol, biotin, folic acid and cyanocobalamin</a><br>
<b>Dosage form:</b> injection<br>
<b>Drug class:</b> <a href=""/drug-class/vitamin-and-mineral-combinations.html"">Vitamin and mineral combinations</a></p>",[],MVI Adult Prescribing Information,,drugs.com,https://www.drugs.com/pro/mvi-adult.html,[]
"<p>Multivitamins provide essential <a href=""/drug-class/vitamins.html"" data-type=""auto"">vitamins</a> and minerals that are not taken in to the body through diet.</p>","<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/mtm/multivitamins-with-fluoride.html"">multivitamins with fluoride</a> [ <i>MUL-tee-VYE-ta-min-with-FLOOR-ide</i> ]<br>
<b>Brand names:</b> <a href=""/mtm/floriva.html"">Floriva</a>, MVC-Fluoride, <a href=""/mtm/poly-vitamin-with-fluoride.html"">Poly Vitamin with Fluoride</a>, <a href=""/mtm/poly-vi-flor.html"">Poly-Vi-Flor</a>, <a href=""/mtm/quflora.html"">Quflora</a>, <a href=""/mtm/tri-vi-flor.html"">Tri-Vi-Flor</a>, <a href=""/mtm/tri-vitamin-with-fluoride.html"">Tri-Vitamin with Fluoride</a><br>
<b>Drug class:</b> <a href=""/drug-class/vitamin-and-mineral-combinations.html"">Vitamin and mineral combinations</a></p>","['<p>Use exactly as directed on the label, or as prescribed by your doctor. Do not use in larger or smaller amounts or for longer than recommended. Taking in too much fluoride can cause an irreversible condition called fluorosis. This condition can permanently damage teeth and possibly other cells in the body.</p>']",MVC-Fluoride,"<p>Get emergency medical help if you have any of these <b>signs of an allergic reaction:</b> hives; difficulty breathing; swelling of your face, lips, tongue, or throat.</p>",drugs.com,https://www.drugs.com/mtm/mvc-fluoride.html,['<p>Do not use this medicine without the advice of a doctor. You should not use MVC-Fluoride if the level of fluoride in your drinking water is adequate (0.6 parts per million or higher).Check with your local water department if you are unsure about the level of fluoride in the drinking water.</p>']
<p>Bevacizumab-awwb injection is given with other medicines to treat patients with metastatic (cancer that has spread) carcinoma of the colon or rectum. </p>,"<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/mtm/bevacizumab.html"">bevacizumab-awwb</a> [ <i>be-va-SIZ-yoo-mab-- awwb</i> ]<br>
<b>Drug class:</b> <a href=""/drug-class/vegf-vegfr-inhibitors.html"">VEGF/VEGFR  inhibitors</a></p>","['<p>Medicines used to treat cancer are very strong and can have many side effects. Before receiving this medicine, make sure you understand all the risks and benefits. It is important for you to work closely with your doctor during your treatment. </p>']",Mvasi (Intravenous),"<p>Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention.</p>",drugs.com,https://www.drugs.com/cons/mvasi-bevacizumab-awwb-intravenous.html,['<p><i>It is very important that your doctor check your progress closely and at regular visits</i> to make sure that this medicine is working properly. Blood and urine tests are needed to check for unwanted effects. Be sure to keep all appointments. You may be taught how to check your blood pressure at home. </p>']
"<p>Bevacizumab injection is given with other medicines to treat patients with metastatic (cancer that has spread) carcinoma of the colon or rectum. This medicine is also used to treat a certain type of metastatic lung cancer called nonsquamous, non-small cell lung cancer, and a certain type of brain tumor called glioblastoma that keeps coming back (recurrent). </p>","<p class=""drug-subtitle"">
<b>Generic name:</b> <a href=""/mtm/bevacizumab.html"">bevacizumab</a> [ <i>be-va-SIZ-yoo-mab</i> ]<br>
<b>Drug class:</b> <a href=""/drug-class/vegf-vegfr-inhibitors.html"">VEGF/VEGFR  inhibitors</a></p>","['<p>Medicines used to treat cancer are very strong and can have many side effects. Before receiving this medicine, make sure you understand all the risks and benefits. It is important for you to work closely with your doctor during your treatment. </p>']",Mvasi (Intravenous),"<p>Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention.</p>",drugs.com,https://www.drugs.com/cons/mvasi-bevacizumab-intravenous.html,['<p><i>It is very important that your doctor check your progress at regular visits</i> to make sure that this medicine is working properly. Blood and urine tests are needed to check for unwanted effects. Be sure to keep all appointments. You may be taught how to check your blood pressure at home. </p>']
,"<p class=""drug-subtitle"">
<b>Package insert / product label</b><br>
<b>Generic name:</b> <a href=""/mtm/fluoride-topical.html"">sodium fluoride</a><br>
<b>Dosage form:</b> gel<br>
<b>Drug class:</b> <a href=""/drug-class/mouth-and-throat-products.html"">Mouth and throat products</a></p>",[],NRG APF Gel Prescribing Information,,drugs.com,https://www.drugs.com/pro/nrg-apf-gel.html,[]
